Feature,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
Employment Status - Population 16 years and over,0.9901789371470602,0.11446506863902588,-0.026176194604430634,0.03029769572734057,-0.01033468741199846
Employment Status - Population 16 years and over - In labor force,0.9984814842257863,-0.03811406588931112,0.017995254041806984,0.02112816893748169,0.010296243077927227
Employment Status - Population 16 years and over - In labor force - Civilian labor force,0.9985174076528486,-0.037590916561941454,0.018420847403983275,0.02081035784869185,0.009737951054312485
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Employed,0.9965387653357828,-0.08229748971657604,0.011730829856954084,-1.5864066608780518e-11,2.0188295870101362e-11
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Unemployed,0.8063620567789318,0.43647636542006857,0.08423743869997484,0.23331935895228084,0.10917892465042438
Employment Status - Population 16 years and over - In labor force - Armed Forces,0.29136957231075344,-0.17523812689166687,-0.12770904186123067,0.10584243880042254,0.17780309714101145
Employment Status - Population 16 years and over - Not in labor force,0.9020133525694282,0.3687823150275321,-0.1003199628917868,0.04383444594682089,-0.04510571543011646
Employment Status - Civilian labor force,0.9985174076528486,-0.037590916561941454,0.018420847403983275,0.020810357848691827,0.009737951054312475
Employment Status - Females 16 years and over,0.9836353336724735,0.14262348174431227,-0.03867088158388655,0.06286792922900593,0.0005978339044802094
Employment Status - Females 16 years and over - In labor force,0.9930341356863337,0.014186875866581971,-0.002389766694916664,0.08839584582092608,0.03396799851098831
Employment Status - Females 16 years and over - In labor force - Civilian labor force,0.993068253255456,0.014125519201015853,-0.0022854121300389715,0.08810670778983618,0.03396256902270909
Employment Status - Females 16 years and over - In labor force - Civilian labor force - Employed,0.994251740254406,-0.02051622336622055,-0.004071710259135633,0.07413632250167984,0.02229028091883557
Employment Status - Own children of the householder under 6 years,0.8974909642182317,0.3414417822584399,0.07283131121063935,-0.027768632245613576,0.02290902948448018
Employment Status - Own children of the householder under 6 years - All parents in family in labor force,0.8954819183353471,0.30353897602905205,0.06603657352311848,0.02544940207902827,0.04371979311007859
Employment Status - Own children of the householder 6 to 17 years,0.894974156052286,0.3128156780678751,-0.05093620604294798,-0.21878634439142586,-0.0056827505375890265
Employment Status - Own children of the householder 6 to 17 years - All parents in family in labor force,0.9087022523402368,0.23920609053009953,-0.06801306198802999,-0.21869160897018422,0.03178586711642343
Commuting to Work - Workers 16 years and over,0.995792731833307,-0.09016478107271356,0.008058842960691088,-0.001739158836759562,-0.0015443184807258424
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- drove alone",0.8897001912631143,-0.17602893994631694,-0.11758724826230862,-0.33975899308751256,0.15898934655806093
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- carpooled",0.8249420542841555,0.11135888131244889,0.295178913086191,-0.1629630431329042,0.19220676885001756
Commuting to Work - Workers 16 years and over - Public transportation (excluding taxicab),0.5873809537352186,0.42748047968053027,0.2427380735317622,0.5473643130675724,-0.08136337194533938
Commuting to Work - Workers 16 years and over - Walked,0.3744486261267534,-0.10403568982189403,0.14291127233312778,0.6299753008395477,-0.32727793808348404
Commuting to Work - Workers 16 years and over - Other means,0.5465021334458968,0.042528371632802785,0.23635132181715646,0.5650133655840779,-0.2425948783400109
Commuting to Work - Workers 16 years and over - Worked from home,0.764218897742304,-0.4238934921730061,-0.15377356391302613,0.09399887858035173,-0.36543893647275016
Occupation - Civilian employed population 16 years and over,0.9965387653357828,-0.08229748971657604,0.011730829856954084,-1.586406660878204e-11,2.0188295870088156e-11
"Occupation - Civilian employed population 16 years and over - Management, business, science, and arts occupations",0.8429326757106534,-0.4234108692386976,-0.14129529023158452,0.09237191571938401,-0.2726154184861968
Occupation - Civilian employed population 16 years and over - Service occupations,0.85737611975857,0.38837379008852846,0.20143868338888052,0.08019840350520224,0.18139805751575294
Occupation - Civilian employed population 16 years and over - Sales and office occupations,0.9726477073789911,-0.015042578390716923,-0.010488447869138526,-0.12899036707767145,0.12258721219867545
