Feature,custom_metric
"Income and benefits - Total households - $200,000 or more",-0.7071292800744424
"Income and benefits - Families - $200,000 or more",-1.0426548520300152
"Income and benefits - Total households - $150,000 to $199,999",-0.3317758921924722
"Income and benefits - Families - $150,000 to $199,999",-0.2814656057004177
Commuting to Work - Workers 16 years and over - Worked from home,-0.08745380217091539
"Industry - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing",-0.039449854539867615
"Occupation - Civilian employed population 16 years and over - Management, business, science, and arts occupations",0.030471452471421377
CLass of worker - Civilian employed population 16 years and over - Unpaid family workers,-1.0414305873432124
"Industry - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services",0.061615571469080935
Industry - Civilian employed population 16 years and over - Information,0.0012130243983352607
"Income and benefits - Total households - $100,000 to $149,999",0.2660471786490905
Employment Status - Population 16 years and over - In labor force - Armed Forces,-1.5680392727930852
Industry - Civilian employed population 16 years and over - Manufacturing,-0.11832530329961786
"Income and benefits - Families - $100,000 to $149,999",0.0034798635390475147
Commuting to Work - Workers 16 years and over - Walked,-1.2724882520240344
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With private health insurance,0.5207401046239876
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With private health insurance,0.3206505920977809
Industry - Civilian employed population 16 years and over - Wholesale trade,-0.08831018821357503
ZIP Code,
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With private health insurance,-0.17045556129055767
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- drove alone",0.22041284271830103
CLass of worker - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers,0.07524571281290926
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage,0.12136943774983655
Industry - Civilian employed population 16 years and over - Construction,0.22486471947519607
CLass of worker - Civilian employed population 16 years and over - Private wage and salary workers,0.521890784117001
Commuting to Work - Workers 16 years and over - Other means,-0.8241641851700555
Commuting to Work - Workers 16 years and over,0.6137227791926648
"Income and benefits - Total households - $75,000 to $99,999",0.303730375625184
