,Feature,success_score,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Coefficient
0,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - White alone,0.2187383032200339,0.7310279536374503,-0.3677604670246068,-0.0552761987514943,0.106293073806379,-0.5611180283995832,0.000479099158249
1,Race - Total population - One race - White,0.1772814337007919,0.7796894191314631,-0.2728391160798813,-0.0776121813960063,0.1093739511438361,-0.5458629844334993,-0.0004746233922966
2,Race - Total population - One race - Asian - Asian Indian,0.1686632131810106,0.4338350939557978,-0.2257994561247353,0.0447871986756736,0.5691338625696302,-0.0315248980698658,-0.0004472116119598
3,Race alone or in combination with one or more other races - Total population - White,0.1587402924322952,0.8056788455391368,-0.2270111448883673,-0.0721016998919854,0.103504566699599,-0.5307990980639411,-0.0013785591752
4,Race - Total population - One race - Asian - Japanese,0.1533201689089693,0.2445760596309574,-0.2024383966904002,0.1575551886136071,0.1048298076327304,-0.0856544557977442,0.0019046534466375
5,Race - Total population - One race - Asian - Korean,0.130809547398399,0.3314627073035658,-0.2604990177817158,-0.0426947426398388,0.3200238691378535,0.0066735799100493,-0.0003435134142116
6,Race - Total population - Two or more races - White and Asian,0.1035702974437085,0.551808263278004,-0.1060867618402096,-0.0193837137638174,0.1761348306163696,-0.2084468520017441,-0.0012527465847493
7,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Chamorro,0.0862586735859576,0.1619525239058844,0.026563878844122,0.1853009181588042,0.0426047729906872,-0.1042158840179439,0.004559708169036
8,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Asian alone,0.0487506404038127,0.6076235998581543,-0.0014011894038632,0.1184741074524136,0.781574287508073,0.0766049439110872,0.0001592790208093
9,Race - Total population - One race - Asian,0.0483901578441273,0.6080290500830534,-0.002087070916899,0.1189220347812426,0.7810405125397674,0.0781611071392144,-0.0005727931137528
10,Race alone or in combination with one or more other races - Total population - Asian,0.0471025301635774,0.6431261279417141,-0.0093045760223276,0.1298256534238501,0.7475818073545157,0.0720916693599656,-0.0004894176276919
11,Race - Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,0.0465365906246065,0.0597204237151385,0.0365106729133926,0.1765166542532346,0.2050178452060773,0.1468557073970212,0.0558156776930755
12,Race - Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,0.0403646211748654,-0.0623945797669267,0.0051475042721782,-0.0074452074004173,0.03542732906494,0.0054716188922145,0.0004973951793102
13,Race - Total population - One race - Asian - Filipino,0.0298346626337556,0.5424062129653036,0.0654264460770254,0.0677496270444878,0.4020167195186806,-0.0488420392392587,3.381726666705934e-05
14,Race - Total population - One race - Asian - Other Asian,0.0278938010619885,0.4383215422693824,0.0345669063730552,0.0676007999382718,0.6003575852082143,0.188141869631695,-0.0002678591614613
15,ZIP Code,0.012027697851036,,,,,,-4.601392688876245e-05
