Feature,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
Sex and Age - Total population,0.9927050445648112,0.08114372905650039,0.08917617243518015,-7.534739567019014e-09,-4.368342784639976e-09
Sex and Age - Total population - Male,0.989238608961225,0.08774724674726368,0.08975533908306435,0.018628466815640517,-0.036811753441161235
Sex and Age - Total population - Female,0.9908135615835072,0.07453843115084421,0.08817209926955383,-0.017448656601021784,0.03448029073598804
Sex and Age - Total population - Under 5 years,0.9072012624970373,0.2916581971079362,0.08175933601633968,-0.04625094594250169,0.06135706768778888
Sex and Age - Total population - 5 to 9 years,0.9106357804221153,0.24318306478486512,0.10781215273806039,-0.03352397051666255,0.03690305349621107
Sex and Age - Total population - 10 to 14 years,0.9109521183536067,0.2358844171454474,0.02565395123803086,-0.023834455568468804,0.03331006724549037
Sex and Age - Total population - 15 to 19 years,0.7811022528832372,0.19852558068550225,0.21863589467516323,0.004301591529502605,-0.01057776240400551
Sex and Age - Total population - 20 to 24 years,0.7406884542222306,0.12026737831975742,0.33127453146093255,-0.022829876684848708,0.1021546925420512
Sex and Age - Total population - 25 to 34 years,0.8303921684724531,0.17325583384137747,0.27678622788323526,0.04573592526908468,0.0769498363722294
Sex and Age - Total population - 35 to 44 years,0.9551946989559913,0.10757392943962636,0.12481734917619147,0.04323384821845641,-0.0575882069450594
Sex and Age - Total population - 45 to 54 years,0.9597457555740604,0.03835990960062406,0.0321977958867424,-0.0001016661878238284,-0.088358186625892
Sex and Age - Total population - 55 to 59 years,0.9457127007895563,-0.05045876906701471,-0.019832167847871403,-0.02865961795490105,-0.1347391555777743
Sex and Age - Total population - 60 to 64 years,0.9565567544780781,-0.04677419131051392,-0.05038213665812301,-0.052608418768422954,-0.04664666935381385
Sex and Age - Total population - 65 to 74 years,0.952420890624152,-0.21016067573769148,-0.14876497593984603,-0.0119187005877452,-0.016913263816873386
Sex and Age - Total population - 75 to 84 years,0.8932788224688138,-0.25027487542245164,-0.30955112526328393,0.019013203108289484,0.018399615286020514
Sex and Age - Total population - 85 years and over,0.7501077154539054,-0.38459260056852135,-0.34067900038596294,0.008601434961902403,0.027219809990685195
Sex and Age - Total population - Under 18 years,0.9325747181939137,0.2555600471693867,0.06093407264263091,-0.031828614796370364,0.020441810474741594
Sex and Age - Total population - 16 years and over,0.992868587719636,0.031087952195567554,0.09415625970629861,0.00916785183097713,-0.010329933891647465
Sex and Age - Total population - 18 years and over,0.9920603624302884,0.02537551725557972,0.09621445475613118,0.009888654251601679,-0.006350963614383651
Sex and Age - Total population - 21 years and over,0.993290078675191,0.012054638776834983,0.06694799081208616,0.008931882507576554,-0.014125686210044673
